id,marca,nome,linha,versao,concentracao,volume_ml,genero,tipo_produto,titulo_site,sku,ean,imagens,confianca_identificacao,fonte_validacao,duplicata_de,observacoes
lattafa-asad-elixir-edp,Lattafa,Asad,,Elixir,Eau de Parfum,100,Masculino,Perfume,Lattafa Asad Elixir Eau de Parfum - Perfume Masculino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.39.jpeg,alta,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-Elixir-117616.html; https://www.lattafa-usa.com/products/asad-elixir,,
lattafa-asad-edp,Lattafa,Asad,,,Eau de Parfum,100,Masculino,Perfume,Lattafa Asad Eau de Parfum - Perfume Masculino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.40.jpeg,alta,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html; https://www.lattafa-usa.com/products/asad,,
armaf-club-de-nuit-iconic-edp-105ml,Armaf,Club de Nuit,,Iconic,Eau de Parfum,105,Masculino,Perfume,Armaf Club de Nuit Iconic Eau de Parfum - Perfume Masculino 105ml,,,WhatsApp Image 2026-06-16 at 13.46.41 (1).jpeg,alta,https://armafperfume.com/products/armaf-club-de-nuit-iconic-edp-105ml; https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Iconic-Extrait-de-Parfum-126952.html; https://www.parfumo.com/Perfumes/Armaf/club-de-nuit-iconic,,
armaf-club-de-nuit-intense-man-edt-105ml,Armaf,Club de Nuit,,Intense Man,Eau de Toilette,105,Masculino,Perfume,Armaf Club de Nuit Intense Man Eau de Toilette - Perfume Masculino 105ml,,,WhatsApp Image 2026-06-16 at 13.46.41 (2).jpeg,alta,https://armaf.uk/products/club-de-nuit-intense-man-eau-de-toilette-105ml; https://armafperfume.com/products/armaf-club-de-nuit-intense-eau-de-toilette-for-man-105ml; https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-34696.html,,
armaf-club-de-nuit-imperiale-edp-105ml,Armaf,Club de Nuit,,Imperiale,Eau de Parfum,105,,Perfume,Armaf Club de Nuit Imperiale Eau de Parfum - Perfume 105ml,,,WhatsApp Image 2026-06-16 at 13.46.41.jpeg,alta,https://armaf.com/products/armaf-club-de-nuit-white-imperial-buy-original-perfumes-online-uae; https://www.amazon.com/ARMAF-Imperiale-Women-Parfum-Spray/dp/B0BQZ7PDMB; https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-White-Imperiale-78474.html,,
fragrance-world-monte-leone-legende-edp-100ml,Fragrance World,Monte Leone Legende,,,Eau de Parfum,100,,Perfume,Fragrance World Monte Leone Legende Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.42 (1).jpeg,alta,FilledWithBarakah; Fragrantica; emiratesoud.co.uk; https://www.fragrantica.com/perfume/Fragrance-World/Monte-Leone-Legende-110789.html,,"marca na frente = MONTE LEONE, fabricante nao visivel"
grandeur-my-life-edp-100ml,Grandeur,My Life,,,Eau de Parfum,100,Feminino,Perfume,Grandeur My Life Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.42.jpeg,alta,https://www.ferwer.com/grandeur-my-life-eau-de-parfum-for-women; https://www.mercadolivre.com.br/blog/reviews/grandeur-my-life-edp-feminino; https://www.talijuperfumaria.com/produtos/perfume-arabe-grandeur-my-life-eau-de-parfum-100ml/,,
maison-alhambra-salvo-edp-100ml,Maison Alhambra,Salvo,,,Eau de Parfum,100,,Perfume,Maison Alhambra Salvo Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.43.jpeg,alta,https://fragrance-dupes.com/catalogue/maison-alhambra-salvo-edp-100ml-dupe-for-christian-dior-sauvage/; https://www.fragrantica.com/perfume/Maison-Alhambra/Salvo-93538.html; kaory.com.br; mcheiro.com.br,,marca nao visivel na face frontal
dar-el-ward-ayman-edp-100ml,Dar El Ward,Ayman,,,Eau de Parfum,100,Masculino,Perfume,Dar El Ward Ayman Eau de Parfum - Perfume Masculino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.44.jpeg,alta,https://compras.macedonia.com.py/producto/dar-el-ward-ayman-100ml-eau-de-parfum/; https://lapetisquera.com.py/tienda/perfumeria/perfume-dar-el-ward-ayman-edp-100ml-masculino/; https://pcdesignperfumes.com/product/ayman-unisex/,,
grandeur-la-vie-femme-edp-100ml,Grandeur,La Vie Femme,,,Eau de Parfum,100,Feminino,Perfume,Grandeur La Vie Femme Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.45.jpeg,alta,https://farsabcollection.com/product/grandeur-la-vie-femme-eau-de-parfum-100ml/; https://www.anabis.com/us/Grandeur-La-Vie-Femme.html; https://www.ferwer.com/grandeur-la-vie-femme-eau-de-parfum-for-women,,
